drive-wheels,wheel-base,length,width,engine-size,bore,engine-power,city-mpg,highway-mpg,price
rwd,102.9,183.5,67.7,30.57,3.27,161000.0,19.0,24.0,15998.0
rwd,104.5,187.8,66.5,30.57,3.27,156000.0,20.0,24.0,15690.0
fwd,97.3,171.7,65.5,6.96,3.01,200000.0,37.0,29.0,7775.0
fwd,97.3,171.7,65.5,8.85,3.19,85000.0,27.0,34.0,7975.0
fwd,97.3,171.7,65.5,6.96,3.01,52000.0,37.0,46.0,7995.0
fwd,97.3,171.7,65.5,8.85,3.19,85000.0,27.0,34.0,8195.0
fwd,115.6,150.0,63.6,8.85,3.19,60000.0,27.0,34.0,8495.0
fwd,93.7,172.4,67.2,6.96,3.19,116000.0,35.0,38.0,9495.0
fwd,97.3,171.7,65.5,8.85,3.19,100000.0,26.0,32.0,9995.0
fwd,104.5,165.7,63.6,8.85,2.97,90000.0,27.0,33.0,9980.0
rwd,113.0,173.5,66.2,16.78,3.24,68000.0,20.0,19.0,12940.0
rwd,104.3,188.8,67.2,16.78,3.78,114000.0,23.0,28.0,13415.0
rwd,94.5,171.7,66.5,16.78,3.34,110000.0,24.0,54.0,15985.0
rwd,104.3,188.8,67.2,16.78,3.78,114000.0,24.0,28.0,16515.0
rwd,104.3,188.8,67.2,13.46,3.62,116000.0,49.0,24.0,18420.0
rwd,104.3,188.8,67.2,13.46,3.62,162000.0,17.0,22.0,18950.0
rwd,109.1,188.8,68.9,16.78,3.78,114000.0,23.0,28.0,16845.0
rwd,109.1,188.8,68.8,16.78,3.78,160000.0,19.0,25.0,19045.0
rwd,93.3,180.3,65.4,31.82,3.5,134000.0,24.0,29.0,21485.0
rwd,109.1,188.8,68.9,18.17,3.01,106000.0,26.0,27.0,22470.0
rwd,108.0,188.8,68.9,16.78,3.78,114000.0,19.0,25.0,22625.0
